항목명,회사명,시장구분,업종,업종명,결산월,결산기준일,보고서종류,통화,항목코드,당기 1분기 3개월_0,당기 1분기 3개월_1,당기 1분기 3개월_0,당기 1분기 3개월_1
지분법이익(손실),CJ ENM,코스닥시장상장법인,602,텔레비전 방송업,12,2020-03-31,1분기보고서,KRW,ifrs-full_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates,,,,"11,802,985,861"
기타포괄손익계,CJ대한통운,유가증권시장상장법인,493,도로 화물 운송업,12,2020-03-31,1분기보고서,KRW,entity00113410,,,"-862,493,048","39,281,512,607"
소계,CJ대한통운,유가증권시장상장법인,493,도로 화물 운송업,12,2020-03-31,1분기보고서,KRW,entity00113410,,,,"27,436,724,513"
소계,CJ대한통운,유가증권시장상장법인,493,도로 화물 운송업,12,2020-03-31,1분기보고서,KRW,entity00113410,,,,"11,844,788,094"
지분법손익,CJ대한통운,유가증권시장상장법인,493,도로 화물 운송업,12,2020-03-31,1분기보고서,KRW,ifrs-full_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates,,"2,147,777,234",,
파생상품평가손익,CJ대한통운,유가증권시장상장법인,493,도로 화물 운송업,12,2020-03-31,1분기보고서,KRW,ifrs-full_GainsLossesOnChangeInValueOfTimeValueOfOptionsNetOfTax,,,"-857,601,313","-857,601,313"
해외사업장환산외환차이,CJ대한통운,유가증권시장상장법인,493,도로 화물 운송업,12,2020-03-31,1분기보고서,KRW,ifrs-full_GainsLossesOnExchangeDifferencesOnTranslationNetOfTax,,,,"11,849,679,829"
공동기업및관계기업손익,CJ제일제당,유가증권시장상장법인,107,기타 식품 제조업,12,2020-03-31,1분기보고서,KRW,entity00635134,,,,"4,407,880,000"
기타포괄손익-공정가치측정금융자산평가손익(세후기타포괄손익),CJ제일제당,유가증권시장상장법인,107,기타 식품 제조업,12,2020-03-31,1분기보고서,KRW,ifrs-full_GainsLossesOnFinancialAssetsMeasuredAtFairValueThroughOtherComprehensiveIncomeNetOfTax,,,,"-2,182,812,000"
보통주기본주당이익,CJ제일제당,유가증권시장상장법인,107,기타 식품 제조업,12,2020-03-31,1분기보고서,KRW,ifrs-full_BasicEarningsLossPerShare,,,"25,448","27,691"
보통주희석주당이익,CJ제일제당,유가증권시장상장법인,107,기타 식품 제조업,12,2020-03-31,1분기보고서,KRW,ifrs-full_DilutedEarningsLossPerShare,,,"25,448","27,691"
비지배지분,CJ제일제당,유가증권시장상장법인,107,기타 식품 제조업,12,2020-03-31,1분기보고서,KRW,ifrs-full_ComprehensiveIncomeAttributableToNoncontrollingInterests,,,,"8,207,050,000"
우선주기본주당이익,CJ제일제당,유가증권시장상장법인,107,기타 식품 제조업,12,2020-03-31,1분기보고서,KRW,ifrs-full_BasicEarningsLossPerShareFromContinuingOperations,,,"25,460","27,704"
우선주희석주당이익,CJ제일제당,유가증권시장상장법인,107,기타 식품 제조업,12,2020-03-31,1분기보고서,KRW,ifrs-full_DilutedEarningsLossPerShareFromContinuingOperations,,,"25,460","27,704"
지배기업의소유주지분,CJ제일제당,유가증권시장상장법인,107,기타 식품 제조업,12,2020-03-31,1분기보고서,KRW,ifrs-full_ProfitLossAttributableToOwnersOfParent,,,,"443,717,387,000"
