,한글 Label,Element ID
282,파생금융상품거래손실,dart_LossesOnTransactionOfDerivativeFinancialInstrument
283,파생금융상품평가손실,dart_LossesOnValuationOfDerivativeFinancialInstrument
284,소멸된 금융부채의 장부금액과 지급된 금액 사이의 차이에서 발생한 손실,dart_LossArisingFromDifferenceBetweenCarryingAmountOfFinancialLiabilityExtinguishedAndConsiderationPaid
285,소송사건의 비용,dart_LossesOnLitigationSettlements
286,기부금,dart_Donations
287,외화환산손실,dart_LossOnForeignExchangeTranslations
288,외환차손,dart_LossesForeignCurrencyTransactions
289,K-IFRS 1109에 따라 결정된 손상차손,dart_ImpairmentLossDeterminedInAccordanceWithIFRS9
290,상각후원가에서 당기손익-공정가치 측정 범주로 재분류된 금융자산의 상각후원가와 공정가치의 차이로 생기는 손실,dart_LossesArisingFromDifferenceBetweenPreviousAmortisedCostAndFairValueOfFinancialAssetsReclassifiedOutOfAmortisedCostIntoFairValueThroughProfitOrLossMeasurementCategory
291,기타포괄손익-공정가치에서 당기손익-공정가치 측정 금융자산으로 재분류시 기타포괄손익누적액 중 당기손익으로 재분류되는 손실,dart_CumulativeLossPreviouslyRecognisedInOtherComprehensiveIncomeArisingFromReclassificationOfFinancialAssetsOutOfFairValueThroughOtherComprehensiveIncomeIntoFairValueThroughProfitOrLossMeasurementCategory
292,순포지션 위험회피손실,dart_HedgingLossesForHedgeOfGroupOfItemsWithOffsettingRiskPositions
293,잡손실,dart_MiscellaneousLosses
294,금융수익,ifrs-full_FinanceIncome
295,이자수익,dart_InterestIncomeFinanceIncome
296,관계기업/공동기업투자처분이익(금융수익),dart_GainsOnSaleOfInvestmentsInAssociatesFinancialIncome
297,금융보증(계약)수익,dart_GainsFromFinancialGuaranteeFinancialIncome
298,기타금융수익,dart_OtherFinancialIncome
299,단기금융상품처분이익(금융수익),dart_GainsOnDisposalsOfShortTermFinancialInstrumentsFinancialIncome
300,단기금융상품평가이익(금융수익),dart_GainsOnValuationOfShortTermFinancialInstrumentsFinancialIncome
301,단기매매금융자산처분이익(금융수익),dart_GainsOnDisposalsOfHeldForTradingFinancialAssetsFinancialIncome
302,단기매매금융자산평가이익(금융수익),dart_GainsOnValuationOfHeldForTradingFinancialAssetsFinancialIncome
303,단기투자자산평가이익(금융수익),dart_GainsOnValuationOfShortTermInvestmentAssetsFinancialIncome
304,당기손익인식금융자산처분이익(금융수익),dart_GainsOnDisposalsOfFairValueFinancialAssetFinancialIncome
305,당기손익인식금융자산평가이익(금융수익),dart_GainsOnValuationOfFairValueFinancialAssetFinancialIncome
306,매도가능금융자산손상차손환입(금융수익),dart_ReversalsOfImpairmentLossesOnAvailableForSaleFinancialAssetsFinancialIncome
307,매도가능금융자산처분이익(금융수익),dart_GainsOnDisposalsOfAvailableForSaleFinancialAssetsFinancialIncome
308,배당금수익(금융수익),dart_DividendIncome
309,사채상환이익(금융수익),dart_GainsFromRedemptionOfBondsFinancialIncome
310,외화환산이익(금융수익),dart_GainsOnForeignExchangeTranslationsFinancialIncome
311,외환차익(금융수익),dart_GainsOnForeignCurrencyTransactionsFiancialIncome
312,채무면제이익(금융수익),dart_GainsOnExemptionOfDebtsFinancialIncome
313,채무조정이익(금융수익),dart_GainsOnAdjustmentOfDebtsFinancialIncome
314,통화선도거래이익(금융수익),dart_GainsOnTransactionOfForeignExchangeForwardFinancialIncome
315,통화선도평가이익(금융수익),dart_GainsOnValuationOfForeignExchangeForwardFinancialIncome
316,파생상품거래이익(금융수익),dart_GainsOnTransactionOfDerivativeFinancialInstrumentsFinancialIncome
317,파생부채평가이익(금융수익),dart_GainsOnValuationOfDerivativeLiabilitiesFinancialIncome
318,파생상품평가이익(금융수익),dart_GainsOnValuationOfDerivativeFinancialInstrumentsFinancialIncome
319,금융원가,ifrs-full_FinanceCosts
320,이자비용,dart_InterestExpenseFinanceExpense
321,금융보증비용(손실),dart_LossesFromFinancialGuaranteeFinanceExpense
322,금융지급수수료,dart_FinancialCommissions
323,기타금융비용,dart_OtherFinancialExpenses
324,단기매매금융자산처분손실(금융원가),dart_LossesOnDisposalsOfHeldForTradingFinancialAssetsFinancialExpense
325,단기매매금융자산평가손실(금융원가),dart_LossesOnValuationOfHeldForTradingFinancialAssetsFinancialExpense
326,단기투자자산처분손실(금융원가),dart_LossesOnDisposalsOfShortTermInvestmentAssetsFinancialExpense
327,단기투자자산평가손실(금융원가),dart_LossesOnValuationOfShortTermInvestmentAssetsFinancialExpense
328,당기손익인식금융자산처분손실(금융원가),dart_LossesOnDisposalsOfFairValueFinancialAssetFinancialExpense
329,당기손익인식금융자산평가손실(금융원가),dart_LossesOnValuationOfFairValueFinancialAssetFinancialExpense
330,매도가능금융자산손상차손(금융원가),dart_ImpairmentLossesOnAvailableForSaleFinancialAssetsFinancialExpense
331,매도가능금융자산처분손실(금융원가),dart_LossesOnDisposalsOfAvailableForSaleFinancialAssetsFinancialExpense
332,매출채권처분손실(금융원가),dart_LossesOnDispositionOfReceivablesFinancialExpense
333,보증료(금융원가),dart_FinancialGuaranteeFinancialExpense
334,사채상환손실(금융원가),dart_LossesFromRedemptionOfBondsFinancialExpense
335,사채조정손실(금융원가),dart_LossesFromAdjustmentOfBondsFinancialExpense
336,외화환산손실(금융원가),dart_LossesOnForeignExchangeTranslationsFinancialExpense
337,외환차손(금융원가),dart_LossesOnForeignCurrencyTransactionsFiancialExpense
338,통화선도거래손실(금융원가),dart_LossesOnTransactionOfForeignExchangeForwardFinancialExpense
339,통화선도평가손실(금융원가),dart_LossesOnValuationOfForeignExchangeForwardFiancialExpense
340,파생상품거래손실(금융원가),dart_LossesOnTransactionOfDerivativeFinancialInstrumentsFinancialExpense
341,파생상품평가손실(금융원가),dart_LossesOnValuationOfDerivativeFinancialInstrumentsFinancialExpense
342,상각후원가로 측정하는 금융자산의 제거로부터 발생한 이익,ifrs-full_GainsArisingFromDerecognitionOfFinancialAssetsMeasuredAtAmortisedCost
343,상각후원가로 측정하는 금융자산의 제거로부터 발생한 손실,ifrs-full_LossesArisingFromDerecognitionOfFinancialAssetsMeasuredAtAmortisedCost
344,분배할 비현금자산의 장부금액과 미지급배당금의 장부금액의 차이,ifrs-full_DifferenceBetweenCarryingAmountOfNoncashAssetsDistributedAndCarryingAmountOfDividendsPayable
345,순화폐성자산에 대한 이익(손실),ifrs-full_GainsLossesOnNetMonetaryPosition
346,공정가치로 측정된 재분류된 금융자산의 전기 장부금액과 공정가치의 차이로부터 발생한 이익(손실),ifrs-full_GainsLossesArisingFromDifferenceBetweenPreviousCarryingAmountAndFairValueOfFinancialAssetsReclassifiedAsMeasuredAtFairValue
347,법인세비용차감전순이익(손실),ifrs-full_ProfitLossBeforeTax
348,법인세비용,ifrs-full_IncomeTaxExpenseContinuingOperations
349,계속영업이익(손실),ifrs-full_ProfitLossFromContinuingOperations
350,중단영업이익(손실),ifrs-full_ProfitLossFromDiscontinuedOperations
351,당기순이익(손실),ifrs-full_ProfitLoss
352,당기순이익(손실)의 귀속 [abstract],ifrs-full_ProfitLossAttributableToAbstract
353,지배기업의 소유주에게 귀속되는 당기순이익(손실),ifrs-full_ProfitLossAttributableToOwnersOfParent
354,비지배지분에 귀속되는 당기순이익(손실),ifrs-full_ProfitLossAttributableToNoncontrollingInterests
355,주당이익 [abstract],ifrs-full_EarningsPerShareAbstract
356,기본주당이익(손실),ifrs-full_BasicEarningsLossPerShare
