항목명,종목코드,회사명,시장구분,업종,업종명,결산월,결산기준일,보고서종류,통화,항목코드,당기 1분기 3개월
      우선주희석주당손익,[019680],대교,유가증권시장상장법인,851,초등 교육기관,12,2020-03-31,1분기보고서,KRW,entity00108913_udf_IS_201711514382912_DilutedEarningsLossPerShare,43
대손상각비(환입),[000430],대원강업,유가증권시장상장법인,303,자동차 신품 부품 제조업,12,2020-03-31,1분기보고서,KRW,entity00111847_udf_IS_201851412466340_IncomeStatementAbstract,0
기타영업외수익,[100130],동국S&C,코스닥시장상장법인,251,"구조용 금속제품, 탱크 및 증기발생기 제조업",12,2020-03-31,1분기보고서,KRW,dart_OtherGains,"44,715,036"
기타영업외비용,[100130],동국S&C,코스닥시장상장법인,251,"구조용 금속제품, 탱크 및 증기발생기 제조업",12,2020-03-31,1분기보고서,KRW,dart_OtherLosses,"55,361,280"
종속기업 및 관계기업투자 손상,[001230],동국제강,유가증권시장상장법인,241,1차 철강 제조업,12,2020-03-31,1분기보고서,KRW,entity00114792_udf_IS_201911818487733_IncomeStatementAbstract,nan
영업수익,[000150],두산,유가증권시장상장법인,715,회사 본부 및 경영 컨설팅 서비스업,12,2020-03-31,1분기보고서,KRW,ifrs-full_Revenue,"558,083,408,395"
   상품 및 제품매출,[000150],두산,유가증권시장상장법인,715,회사 본부 및 경영 컨설팅 서비스업,12,2020-03-31,1분기보고서,KRW,ifrs-full_RevenueFromSaleOfGoods,"499,052,061,621"
   기타매출,[000150],두산,유가증권시장상장법인,715,회사 본부 및 경영 컨설팅 서비스업,12,2020-03-31,1분기보고서,KRW,ifrs-full_OtherRevenue,"55,814,640,360"
   배당금수익,[000150],두산,유가증권시장상장법인,715,회사 본부 및 경영 컨설팅 서비스업,12,2020-03-31,1분기보고서,KRW,ifrs-full_RevenueFromDividends,"3,216,706,414"
영업비용,[000150],두산,유가증권시장상장법인,715,회사 본부 및 경영 컨설팅 서비스업,12,2020-03-31,1분기보고서,KRW,ifrs-full_CostOfSales,"497,493,987,520"
   상품 및 제품매출원가,[000150],두산,유가증권시장상장법인,715,회사 본부 및 경영 컨설팅 서비스업,12,2020-03-31,1분기보고서,KRW,entity00117212_udf_IS_2018881173029_udf_IS_20188811713428_IncomeStatementAbstract,"394,966,654,862"
   기타매출원가,[000150],두산,유가증권시장상장법인,715,회사 본부 및 경영 컨설팅 서비스업,12,2020-03-31,1분기보고서,KRW,dart_OtherCostOfSales,"39,561,309,996"
   판매비와관리비,[000150],두산,유가증권시장상장법인,715,회사 본부 및 경영 컨설팅 서비스업,12,2020-03-31,1분기보고서,KRW,entity00117212_udf_IS_20188811747663_udf_IS_20188811713428_IncomeStatementAbstract,"62,966,022,662"
