,항목코드,항목명
36245,dart_LossesOnSaleOfInvestmentAccountedForUsingEquityMethod,   지분법투자주식감액손실
36247,dart_LossesFromRedemptionOfBonds,   사채상환손실
36910,dart_FinancialGuaranteeFinancialExpense,   보증료(금융원가)
38038,dart_RevenueGovernmentGrant,   정부보조금수익(매출액)
38066,dart_ClothingExpenses,   피복비
38072,dart_RevenueContributionToConstructionNonOperating,   공사부담금수익(영업외)
41041,dart_RevenueFromRenderingOfServicesMaintenance,      정비매출
41051,dart_CostOfSalesFromRenderingOfServicesMaintenance,      정비매출원가
41076,dart_ReturnedGoodsExpenses,   반품비용
24,ifrs-full_ComprehensiveIncomeAttributableToAbstract,총 포괄손익의 귀속 [abstract]
25,ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent,   지배기업 소유주지분
26,ifrs-full_ComprehensiveIncomeAttributableToNoncontrollingInterests,   비지배지분
432,dart_RevenueFromHotelService,   호텔매출액
445,dart_CostOfRevenueHotelService,   호텔매출원가
857,ifrs-full_ReclassificationAdjustmentsOnExchangeDifferencesOnTranslationBeforeTax,      해외사업장환산외환차이 세전재분류조정
1420,dart_GainsOnValuationOfDerivativeLiabilitiesFinancialIncome,   파생부채평가이익(금융수익)
8660,dart_CostOfSalesFromInterest,   투자비용
15053,dart_ReversalsOfPropertyPlantAndEquipment,   선박손상차손환입
18919,dart_ExpenseOfLegalProceedingsProvision,   법적소송충당부채전입액
29317,dart_AmortizationOnNegativeGoodwill,   염가매수차익
29320,dart_ReversalsOfLegalProceedingsProvision,   소송충당부채환입
30822,dart_RevenueFromRenderingOfServicesFinanceBusiness,   금융업
30825,dart_CostOfSalesFromRenderingOfServicesFinanceBusiness,   금융업매출원가
35930,ifrs-full_ChangesInInventoriesOfFinishedGoodsAndWorkInProgress,   재고의변동
39374,dart_LossesOnDisposalOfHeldForTradingFinancialAssets,   단기매매금융자산처분손실
42714,dart_OrderGettingExpenses,   수주비
43653,ifrs-full_ReclassificationAdjustmentsOnHedgesOfNetInvestmentsInForeignOperationsNetOfTax,      해외사업장순투자의 위험회피손익의 세후재분류조정
