,항목코드,항목명
1658,dart_OrdinaryDevelopmentExpense,   경상개발비
1659,dart_TrainingExpenses,   교육훈련비
1660,dart_FreightExpenses,   운반비
1665,dart_AmortisationExpense,   무형자산상각비
1669,dart_ReversalsOfAllowanceForOtherDoubtfulAccounts,   기타대손충당금환입
1673,dart_AllowanceForOtherDoubtfulAccounts,   기타의대손상각비
1676,dart_LossesOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,   지분법손실
1709,ifrs-full_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates,종속기업및관계기업투자손실
1711,ifrs-full_ProfitLossFromContinuingOperations,계속영업당기순손실
1712,ifrs-full_ProfitLoss,당기순손실
1726,ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용(이익)
1752,ifrs-full_DilutedEarningsLossPerShareFromDiscontinuedOperations,      중단영업희석주당이익(손실)
1795,dart_OtherGains,기타영업외이익
1796,dart_OtherLosses,기타영업외손실
1844,dart_LossesOnSaleOfInvestmentsInSubsidiaries,   종속기업투자주식처분손실
1845,dart_ImpairmentLossesOnAssociates,   관계기업/공동기업투자손상차손
1846,dart_ImpairmentLossDeterminedInAccordanceWithIFRS9,   K-IFRS 1109에 따라 결정된 손상차손
1911,ifrs-full_BasicEarningsLossPerShare,   기본 및 희석 주당순이익(손실)
1943,dart_RevenueFromSaleOfGoodsMerchandise,      상품매출액
1946,dart_RevenueFromRenderingOfServicesRental,      임대수익
1947,dart_RevenueFromServices,      용역매출액
1950,dart_CostOfSalesFromSaleOfGoodsMerchandises,      상품매출원가
1951,dart_CostOfSalesFromSaleOfGoodsProduct,      제품매출원가
1953,dart_CostOfSalesFromRenderingOfServicesRental,      임대매출원가/임대수익원가
1954,dart_CostOfSalesFromServices,      용역매출원가
1967,dart_RentalExpenses,   임차료
1978,dart_WarrantyExpenses,   하자보수비
2024,ifrs-full_FinanceIncome,영업외손익
2088,dart_ExportOverallExpense,   수출제비용
2093,dart_SamplesExpenses,   견본품비
2097,dart_PackingExpenses,   포장비
2102,dart_GainsOnDisposalsOfFairValueFinancialAssetFinancialIncome,   당기손익인식금융자산처분이익(금융수익)
2110,dart_GainsFromCommission,   수입수수료
2111,dart_LentIncome,   수입임대료
2112,dart_GainsOnDisposalsOfPropertyPlantAndEquipment,   유형자산처분이익
2119,dart_Donations,   기부금
2132,dart_RevenueFromRenderingOfServicesCommission,      수수료매출
2159,dart_GainsArisingFromDifferenceBetweenPreviousAmortisedCostAndFairValueOfFinancialAssetsReclassifiedOutOfAmortisedCostIntoFairValueThroughProfitOrLossMeasurementCategory,   당기손익공정가치측정 금융자산평가이익
2162,dart_LossesOnDisposalOfFairValueFinancialAsset,   당기손익인식금융자산처분손실
2201,ifrs-full_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates,지분법이익(손실)
2253,ifrs-full_DilutedEarningsLossPerShare,   희석주당순손익
2335,ifrs-full_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates,종속 및 관계기업 투자손익
2388,dart_MiscellaneousExpenses,   기타판매비와관리비
2456,ifrs-full_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates,관계기업등 투자손익
2471,dart_OtherGains,이자수익
2504,ifrs-full_ProfitLossBeforeTax,법인세비용차감전분기순손실
2659,ifrs-full_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates,지분법이익
2671,dart_SalariesWages,   급여및상여
2811,ifrs-full_Revenue,매출액(매출액)
2830,dart_MiscellaneousExpenses,   일반판매비와관리비
2835,ifrs-full_FinanceIncome,금융수익-유효이자율법에 의한 이자수익
2838,ifrs-full_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates,종속·관계기업 투자손익
2857,ifrs-full_EarningsPerShareAbstract,지배기업의 소유주지분에 대한 주당손익
2949,ifrs-full_ProfitLoss,총포괄순이익(손실)
2992,ifrs-full_BasicEarningsLossPerShare,   기본 및 희석 주당이익
3010,dart_EngagementExpenses,   업무추진비
3012,dart_FreightExpenses,   운반보관비
3014,dart_MembershipExpenses,   협회비
3019,dart_RepairExpenses,   수선유지비
3024,dart_GainsOnDisposalsOfInvestmentProperty,   투자부동산처분이익
3026,dart_GainsOnDisposalsOfInventory,   재고자산처분이익
3028,dart_GainsOnDisposalsOfIntangibleAssets,   무형자산처분이익
3163,ifrs-full_ProfitLossFromContinuingOperations,계속영업당기순이익
3239,ifrs-full_BasicEarningsLossPerShare,   기본주당순이익(원/주)
3240,ifrs-full_DilutedEarningsLossPerShare,   희석주당순이익(원/주)
3246,ifrs-full_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates,종속기업및관계기업투자손익
3275,ifrs-full_BasicEarningsLossPerShare,   기본주당분기순이익
3276,ifrs-full_DilutedEarningsLossPerShare,   희석주당분기순이익
3292,ifrs-full_Revenue,I.  매출액
3296,dart_OperatingIncomeLoss,V. 영업이익
3297,dart_OtherGains,VI. 영업외손익
3300,dart_MiscellaneousIncome,   기타영업외수익
3302,ifrs-full_ProfitLossBeforeTax,VII. 법인세비용차감전순이익(손실)
3305,ifrs-full_EarningsPerShareAbstract,IX. 주당이익
3306,ifrs-full_BasicEarningsLossPerShare,   기본및희석보통주당이익
